rowid,dataset,_link,_link_activity,_link_activity_label,prefix,iatiidentifier,reportingorg_ref,ref,locationreach_code,locationreach_codename,name_narrative,description_narrative,activitydescription_narrative,administrative,point_srsName,point_pos,exactness_code,exactness_codename,locationclass,locationclass_code,locationclass_codename,featuredesignation_code,featuredesignation_codename,percentage,recipientcountry_codename,Sector
534121,iadb-br,289780.location.1,289780,289780,iadb,XI-IATI-IADB-BR-L1411,XI-IATI-IADB,,1,Activity,"Brazil,Aracaju,Aracaju",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-11.01199855, -37.0909235964604",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534114,iadb-gy,289855.location.0,289855,289855,iadb,XI-IATI-IADB-GY-L1042,XI-IATI-IADB,,1,Activity,"Guyana,Georgetown",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"6.8137426, -58.1624465",2,Approximate,,,,PPLC,capital of a political entity,,Guyana,REFORM / MODERNIZATION OF THE STATE
534115,iadb-gy,289856.location.0,289856,289856,iadb,XI-IATI-IADB-GY-L1021,XI-IATI-IADB,,1,Activity,"Guyana,Georgetown",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"6.81326275, -58.1652433",2,Approximate,,,,PPLC,capital of a political entity,,Guyana,FINANCIAL MARKETS
534116,iadb-gy,289857.location.0,289857,289857,iadb,XI-IATI-IADB-GY-L1016,XI-IATI-IADB,,1,Activity,"Guyana,Georgetown",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"6.81326275, -58.1652433",2,Approximate,,,,PPLC,capital of a political entity,,Guyana,FINANCIAL MARKETS
534117,iadb-ho,290025.location.0,290025,290025,iadb,XI-IATI-IADB-HO-L1215,XI-IATI-IADB,,1,Activity,"Honduras,Tegucigalpa",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"14.1045199, -87.199051",2,Approximate,,,,PPLC,capital of a political entity,,Honduras,REFORM / MODERNIZATION OF THE STATE
534118,iadb-ho,290026.location.0,290026,290026,iadb,XI-IATI-IADB-HO0224,XI-IATI-IADB,,1,Activity,"Honduras,Erandique",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"14.2446793, -88.47292377",2,Approximate,,,,PPLC,capital of a political entity,,Honduras,ENERGY
534119,iadb-ho,290026.location.1,290026,290026,iadb,XI-IATI-IADB-HO0224,XI-IATI-IADB,,1,Activity,"Honduras,San Pedro",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"14.6113525, -88.8624784",2,Approximate,,,,PPLC,capital of a political entity,,Honduras,ENERGY
534120,iadb-ho,290026.location.2,290026,290026,iadb,XI-IATI-IADB-HO0224,XI-IATI-IADB,,1,Activity,"Honduras,San Pedro Sula",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"15.5062156, -88.0248937",2,Approximate,,,,PPLC,capital of a political entity,,Honduras,ENERGY
534122,iadb-br,289781.location.0,289781,289781,iadb,XI-IATI-IADB-BR-L1183,XI-IATI-IADB,,1,Activity,"Brazil,Ba",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"12.4450149, -69.9231155",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534123,iadb-br,289781.location.1,289781,289781,iadb,XI-IATI-IADB-BR-L1183,XI-IATI-IADB,,1,Activity,"Brazil,Colatina",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-19.5346732, -40.6287836",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534124,iadb-br,289781.location.2,289781,289781,iadb,XI-IATI-IADB-BR-L1183,XI-IATI-IADB,,1,Activity,"Brazil,Se",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"49.6026265, 6.1338866",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534125,iadb-br,289782.location.0,289782,289782,iadb,XI-IATI-IADB-BR-L1160,XI-IATI-IADB,,1,Activity,"Brazil,Se",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"49.6026265, 6.1338866",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534128,iadb-br,289782.location.1,289782,289782,iadb,XI-IATI-IADB-BR-L1160,XI-IATI-IADB,,1,Activity,"Brazil,Ba",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"12.4450149, -69.9231155",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534129,iadb-br,289782.location.2,289782,289782,iadb,XI-IATI-IADB-BR-L1160,XI-IATI-IADB,,1,Activity,"Brazil,Campo",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-12.49886, -38.2441342",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534130,iadb-br,289782.location.3,289782,289782,iadb,XI-IATI-IADB-BR-L1160,XI-IATI-IADB,,1,Activity,"Brazil,Campo,Mel",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-4.9664557, -41.4396573",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534131,iadb-br,289782.location.4,289782,289782,iadb,XI-IATI-IADB-BR-L1160,XI-IATI-IADB,,1,Activity,"Brazil,Campo,Modelo",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-20.8737677, -53.08431265",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534132,iadb-br,289782.location.5,289782,289782,iadb,XI-IATI-IADB-BR-L1160,XI-IATI-IADB,,1,Activity,"Brazil,Campos",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-21.7558619, -41.3326895",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
